sku,product_name,product_category,product_subcategory,unit_price,unit_weight,is_innovation,effective_from,product_ref_id
60-0031B-,Mambo Au Lait T 90g (100*2*45),Chocolates,slap,67600,9.0,No,2024-10-01,4c7f105a-0c16-42d0-be32-274a207de2fc
60-0022B-,Mambo Noir 90g (100*2*45),Chocolates,slap,67600,9.0,No,2024-10-01,44339c1a-a43b-47a0-97a6-7a9f88c1cf82
60-032A-,Mambo au Riz 90g (2x9x5x100g),Chocolates,slap,64800,9.0,No,2024-10-01,bbe8f43a-91f6-415f-b30f-9f0259a0b4e0
60-033A+-,Mambo Prestige Noir 58% (42 unités x95g),Chocolates,slap,33000,3.99,No,2024-10-01,a6efc851-26de-4b1f-af9c-6eee6c89f214
60-021+-,Le Bon Patissier 200gx22x2,Chocolates,bakery,66278,8.8,No,2024-10-01,ca14749b-525d-4bd4-a201-51efaf9daba1
60-37++-,Mambo Coffret Lait (2x4x25x23g),Chocolates,bar,33350,5.0,No,2024-10-01,dd9d45f3-4685-4ea8-83b8-3c1b263af74b
60-28++-,Mambo Coffret Noir (2x4x25x23g),Chocolates,bar,33350,5.0,No,2024-10-01,84c12be3-3f8e-4e2e-b172-d26a781eb162
60-060B-,Chococrock au Nougat 30g avec coffret (2x5x20x30g),Chocolates,bar,34900,6.0,No,2024-10-01,d67406f9-2f0f-4b0a-9e8d-ca39bdfe1fe2
60-038A-,Mambo au Riz 25g (2x5x20x25g),Chocolates,bar,37100,5.0,No,2024-10-01,b7831ccf-eec1-47dd-b424-4562de2bf03c
60-111B+-,Bâtons Boulangers Pour Professionnels (10g*9*2*54Unités),Chocolates,bakery,49250,9.72,No,2024-10-01,d53c4d19-fe09-4428-8e37-c82d76e71bb2
60-0026B-,Couverture Croquer 1 Kgx12 Blocs,Chocolates,bakery,64370,12.0,No,2024-10-01,5a82f016-ef05-4ce5-a86e-852357e8423e
60-0049B,Couverture Beurre 1KG,Chocolates,bakery,102915,12.0,No,2024-10-01,d02b3200-62db-48f5-bf50-c2f0850af601
60-0036-,Couveture Lait 25Kgs,Chocolates,bakery,64370,25.0,No,2024-10-01,63a5d3f2-3866-4bd6-8231-f11b6ec661ca
60-0036B,Chocolat à Patisser Lait 1Kg,Chocolates,bakery,64370,25.0,No,2024-10-01,4bf85774-6b3e-4c46-8ea3-e64881f5d923
60-079+-,"Tartina Seau 9,7 Kgs",Spreads,Extra Menange,16800,10.0,No,2024-10-01,32a44aac-e701-4c71-8a6f-a876c5f788ea
